,time (min),FL1.mean,strain,strain_name,treatment
7,404.2133333,13945.519890000001,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
8,463.7415,12897.99069,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
9,522.4465,12057.46354,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
10,580.0665,11078.863140000001,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
11,640.7528333,10850.28413,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
12,701.5261667000001,9790.087365000001,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
13,764.194,9068.977185,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
14,823.2738333,8261.427158,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
15,884.5089999999999,8060.804064,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
16,942.8768332999998,7219.787653,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
17,993.6746667000001,7063.113333,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
18,1286.357333,6288.009113,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
19,1398.8526669999999,6070.226092,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
20,1465.4520000000002,5649.5071530000005,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
21,1587.82,5869.669247999999,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
22,1702.1215,6103.047294,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
23,1763.1268329999998,6012.926969,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
24,1763.1268329999998,6012.926969,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
0,1366.233333,6370.63488,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
1,851.7513332999998,4013.726079,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
2,1.0,2610.941839,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
3,14.71833333,3029.5935,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
4,76.20483333,2839.080042,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
5,132.5261667,2851.570678,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
6,193.5345,2896.5196079999996,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
7,252.20616669999998,2918.9542920000004,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
8,309.7421667,2710.6551719999998,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
9,371.379,2837.1817690000003,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
10,731.4098333,3529.8791079999996,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
11,431.06266669999997,2886.9281100000003,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
12,489.67699999999996,2898.17737,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
13,547.2215,2597.296976,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
14,607.9951667,3093.298722,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
15,668.6383333,2968.970715,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
16,790.4048333,3568.2323490000003,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
17,910.0881667000001,4261.621081,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
18,961.5773332999999,4938.524513,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
19,1253.589833,6441.146436999999,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
20,1432.6295,6101.239661,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
21,1555.3605,6964.068876,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
22,1669.318833,6723.599595000001,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
23,1730.228833,6573.616822,6327,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8, pMOD-HOKan-pGRR-W17-RGR-W5,pMOD8-pGALZ4-URGR-W17",100
